l_vel X,l_vel Y,l_vel Z,t
0.1847333014011383,0.017295945435762405,0.04425380751490593,0
-0.005241256672888994,-0.006915685720741749,-0.07211464643478394,1
-0.014645231887698174,-0.013387244194746017,-0.13664323091506958,2
-0.02662038616836071,-0.021980414167046547,-0.18839995563030243,3
-0.04196713864803314,-0.03100470080971718,-0.23475855588912964,4
-0.06572265923023224,-0.04258817061781883,-0.24993103742599487,5
-0.09749862551689148,-0.05886348709464073,-0.2346075475215912,6
-0.14007973670959473,-0.08008658140897751,-0.18352526426315308,7
-0.19059236347675323,-0.10384196043014526,-0.1192670688033104,8
-0.2509828209877014,-0.13009579479694366,-0.034396640956401825,9
-0.3186729848384857,-0.1580934226512909,0.05417205020785332,10
-0.39565473794937134,-0.18985925614833832,0.16534145176410675,11
-0.48010119795799255,-0.224462628364563,0.29635152220726013,12
-0.5636447072029114,-0.2584775984287262,0.4231058657169342,13
-0.6429741382598877,-0.2909935712814331,0.5415579080581665,14
-0.7171242237091064,-0.3230831027030945,0.659459114074707,15
-0.7794604301452637,-0.35335540771484375,0.7526862621307373,16
-0.8376809358596802,-0.38681837916374207,0.8627773523330688,17
-0.8784976601600647,-0.41763177514076233,0.9276690483093262,18
-0.9082449078559875,-0.44905903935432434,0.9813928008079529,19
-0.927218496799469,-0.4812195301055908,1.019324779510498,20
-0.9345141649246216,-0.5108638405799866,1.0202393531799316,21
-0.9357587695121765,-0.5402092933654785,1.000140905380249,22
-0.9318192601203918,-0.5692755579948425,0.9655949473381042,23
-0.9235457181930542,-0.5984857678413391,0.916550874710083,24
-0.9122682809829712,-0.6262221932411194,0.8529568910598755,25
-0.8981783390045166,-0.6521579027175903,0.7779508829116821,26
-0.8835701942443848,-0.6759448647499084,0.6858490705490112,27
-0.8653087615966797,-0.7015504240989685,0.6041284203529358,28
-0.8447437286376953,-0.7259619235992432,0.5184148550033569,29
-0.8263543844223022,-0.7468253970146179,0.41616547107696533,30
-0.8087265491485596,-0.7659902572631836,0.3085530400276184,31
-0.7870733141899109,-0.7881671190261841,0.22028282284736633,32
-0.7624980807304382,-0.8131559491157532,0.15163645148277283,33
-0.7427693009376526,-0.8344972729682922,0.07255387306213379,34
-0.7218430638313293,-0.8574356436729431,0.011015697382390499,35
-0.7024993896484375,-0.8808559775352478,-0.036263417452573776,36
-0.6827090978622437,-0.9063178896903992,-0.05183059349656105,37
-0.6657456755638123,-0.9325037598609924,-0.042821310460567474,38
-0.6570078134536743,-0.9534434676170349,-0.04515546187758446,39
-0.6530467867851257,-0.9732118248939514,-0.02212304063141346,40
-0.656754195690155,-0.9876066446304321,-0.019866546615958214,41
-0.6678962707519531,-0.9999046325683594,0.005321440286934376,42
-0.6852444410324097,-1.0091832876205444,0.04276250675320625,43
-0.7058597207069397,-1.013517141342163,0.07435248792171478,44
-0.7323818802833557,-1.0155645608901978,0.11432613432407379,45
-0.7600860595703125,-1.0144343376159668,0.15731383860111237,46
-0.7892126441001892,-1.0109403133392334,0.20341557264328003,47
-0.8177922964096069,-1.0063713788986206,0.2479010671377182,48
-0.8451486229896545,-1.0007909536361694,0.29252612590789795,49
-0.8684081435203552,-0.9954877495765686,0.3241974711418152,50
-0.8903794288635254,-0.9923273324966431,0.35795894265174866,51
-0.907184898853302,-0.990405797958374,0.3695939779281616,52
-0.920120120048523,-0.9906370639801025,0.39130520820617676,53
-0.9280062913894653,-0.9941701292991638,0.3865724205970764,54
-0.9329289793968201,-1.0004910230636597,0.3731064200401306,55
-0.9353873133659363,-1.009517788887024,0.3452911674976349,56
-0.9346386194229126,-1.0185550451278687,0.28887587785720825,57
-0.930635929107666,-1.0315355062484741,0.25280916690826416,58
-0.9252158403396606,-1.0442204475402832,0.1883232444524765,59
-0.9185904860496521,-1.0578831434249878,0.12009838968515396,60
-0.9116325974464417,-1.0726666450500488,0.048348281532526016,61
-0.903555691242218,-1.0888285636901855,-0.012977292761206627,62
-0.8972102403640747,-1.1024534702301025,-0.09729528427124023,63
-0.889682412147522,-1.1175366640090942,-0.165470153093338,64
-0.8779639601707458,-1.1372519731521606,-0.1875697523355484,65
-0.8693192601203918,-1.1542726755142212,-0.22473761439323425,66
-0.860781192779541,-1.170454502105713,-0.24401502311229706,67
-0.8548940420150757,-1.1838327646255493,-0.2667427659034729,68
-0.8490978479385376,-1.1949962377548218,-0.267051100730896,69
-0.8462481498718262,-1.2034560441970825,-0.2654002010822296,70
-0.8454692959785461,-1.2079588174819946,-0.24184051156044006,71
-0.8480034470558167,-1.2076895236968994,-0.2509027123451233,72
-0.8528421521186829,-1.2038151025772095,-0.2801278829574585,73
-0.8600435853004456,-1.1961591243743896,-0.2722572088241577,74
-0.8671890497207642,-1.1833375692367554,-0.24308156967163086,75
-0.8753339052200317,-1.1702977418899536,-0.2413729876279831,76
-0.8851209878921509,-1.1545953750610352,-0.23225726187229156,77
-0.894807755947113,-1.1370607614517212,-0.22936369478702545,78
-0.9039135575294495,-1.1174217462539673,-0.21868227422237396,79
-0.9133349657058716,-1.0975326299667358,-0.21211905777454376,80
-0.9214226603507996,-1.0780359506607056,-0.21387648582458496,81
-0.9295966029167175,-1.0574179887771606,-0.1983751803636551,82
-0.9357850551605225,-1.0395735502243042,-0.20985768735408783,83
-0.9413414597511292,-1.0199501514434814,-0.19541390240192413,84
-0.945259153842926,-1.0013351440429688,-0.18226554989814758,85
-0.9486599564552307,-0.9855272769927979,-0.1870822161436081,86
-0.9518737196922302,-0.9703752994537354,-0.19152118265628815,87
-0.9537256360054016,-0.9552595615386963,-0.19024190306663513,88
-0.9553176760673523,-0.9404512643814087,-0.1806575208902359,89
-0.9569986462593079,-0.9268568754196167,-0.174166738986969,90
-0.9596220850944519,-0.9124065041542053,-0.1599792242050171,91
-0.9617324471473694,-0.8994988799095154,-0.17000289261341095,92
-0.9636979699134827,-0.8850517868995667,-0.1585467904806137,93
-0.965906023979187,-0.8716970086097717,-0.1637699156999588,94
-0.9671889543533325,-0.8579607009887695,-0.17375925183296204,95
-0.9684253931045532,-0.8453741669654846,-0.18500328063964844,96
-0.9678263068199158,-0.8279843330383301,-0.14168910682201385,97
-0.9676385521888733,-0.8147367835044861,-0.14310868084430695,98
-0.9688721299171448,-0.8022024631500244,-0.1474602371454239,99
-0.9700164794921875,-0.7873963713645935,-0.13445845246315002,100
-0.9700189232826233,-0.7729320526123047,-0.12857398390769958,101
-0.9704135656356812,-0.758147120475769,-0.12041497230529785,102
-0.9703077077865601,-0.740871250629425,-0.08825668692588806,103
-0.9713082909584045,-0.7252261638641357,-0.08772968500852585,104
-0.971653401851654,-0.7063701748847961,-0.05426761880517006,105
-0.9729471802711487,-0.6904788017272949,-0.05918360874056816,106
-0.9736195802688599,-0.6711745262145996,-0.0317467637360096,107
-0.9740291237831116,-0.652655303478241,-0.013742233626544476,108
-0.9764372110366821,-0.6345935463905334,-0.0037207561545073986,109
-0.9782323837280273,-0.6159271597862244,0.008233687840402126,110
-0.9804719686508179,-0.597633421421051,0.014785466715693474,111
-0.982293963432312,-0.577811062335968,0.034478891640901566,112
