drag X,drag Y,drag Z,X_n,Y_n,Z_n,t
3.504855703795329e-05,-0.015038910321891308,-0.0,-0.0023097610101103783,-0.006106954533606768,0.0005788329290226102,0
3.089056917815469e-05,-0.014797206968069077,-0.0005464233108796179,2.0065457647433504e-05,-0.011682678014039993,-0.004340267274528742,1
-0.00012128198432037607,-0.014888470061123371,-0.0007144762203097343,-0.0016061296919360757,-0.016239650547504425,5.947914905846119e-05,2
-0.00016757167759351432,-0.014739224687218666,-0.0008345443056896329,-0.005024915561079979,-0.01293624471873045,-0.006150109693408012,3
-0.00023041907115839422,-0.014350073412060738,-0.0009458449203521013,0.0013652169145643711,-0.016914717853069305,-0.002841914538294077,4
-0.0002739393385127187,-0.014218034222722054,-0.001086414442397654,-0.0005640274612233043,-0.016023648902773857,-0.003587966552004218,5
-0.00044971134047955275,-0.013720179907977581,-0.0014511061599478126,-0.0006811489583924413,-0.01449471153318882,0.00018945441115647554,6
-0.0005841570673510432,-0.013354354538023472,-0.001981800189241767,0.0025784620083868504,-0.008875655010342598,-0.004072108305990696,7
-0.000803674862254411,-0.012900596484541893,-0.0027453263755887747,-0.0025879526510834694,-0.010573551058769226,-0.0024645919911563396,8
-0.0010189480381086469,-0.01255824975669384,-0.0036382325924932957,0.004547965247184038,-0.016957756131887436,-0.0035605027806013823,9
-0.0013655094662681222,-0.011964945122599602,-0.004551493097096682,-0.003082366194576025,-0.007588787004351616,0.0002967584878206253,10
-0.001176290214061737,-0.011556609533727169,-0.005946656223386526,0.000447065569460392,-0.01333635300397873,-0.001934681786224246,11
-0.0014086759183555841,-0.011234466917812824,-0.007043277379125357,-0.0013091593282297254,-0.012212533503770828,-0.003119033295661211,12
-0.0012912541860714555,-0.01107673067599535,-0.008362315595149994,0.005711100064218044,-0.01161153707653284,-0.00565508846193552,13
-0.0014760630438104272,-0.011006729677319527,-0.009483588859438896,-0.0017941670957952738,-0.009373645298182964,-0.011277148500084877,14
-0.0015222376678138971,-0.010877908207476139,-0.01061596255749464,-0.001927685458213091,-0.010605976916849613,-0.007741480600088835,15
-0.0017651300877332687,-0.010876834392547607,-0.011513716541230679,-0.00014623941387981176,-0.006412144284695387,-0.004516812972724438,16
-0.001998293912038207,-0.011311003006994724,-0.012566613964736462,-0.010646963492035866,-0.008753607049584389,-0.00537638645619154,17
-0.002442085649818182,-0.011897453106939793,-0.013489297591149807,-0.004599721636623144,-0.015150238759815693,-0.015410909429192543,18
-0.0029568010941147804,-0.012406541965901852,-0.01427443791180849,-0.0038908403366804123,-0.009308473207056522,-0.013967964798212051,19
-0.003680286230519414,-0.013084017671644688,-0.015064682811498642,-0.005658033303916454,-0.011124704964458942,-0.013778812251985073,20
-0.004551342222839594,-0.013756738975644112,-0.015676280483603477,-0.002327995840460062,-0.008797411806881428,-0.015384329482913017,21
-0.0055462815798819065,-0.014715173281729221,-0.01637174002826214,-0.001640891656279564,-0.008180662989616394,-0.015052170492708683,22
-0.00688961474224925,-0.015934819355607033,-0.0169557873159647,-0.005538869649171829,-0.01627371832728386,-0.01258312352001667,23
-0.008459004573523998,-0.0170026496052742,-0.01709422841668129,-0.006983193103224039,-0.016134945675730705,-0.017016716301441193,24
-0.0102224824950099,-0.018065234646201134,-0.016990864649415016,-0.010691486299037933,-0.014649213291704655,-0.018272455781698227,25
-0.012531639076769352,-0.01929217390716076,-0.016681088134646416,-0.008240333758294582,-0.01483937632292509,-0.017878636717796326,26
-0.014896586537361145,-0.020060058683156967,-0.015767617151141167,-0.010098726488649845,-0.01475684717297554,-0.0176528412848711,27
-0.017546527087688446,-0.020632680505514145,-0.014482216909527779,-0.018857743591070175,-0.01795228011906147,-0.019628018140792847,28
-0.02024208940565586,-0.020571039989590645,-0.01254677027463913,-0.019637247547507286,-0.01986231841146946,-0.011927692219614983,29
-0.022784670814871788,-0.020250646397471428,-0.010174357332289219,-0.017008349299430847,-0.021756617352366447,-0.01361015159636736,30
-0.02510746568441391,-0.019149770960211754,-0.007617615163326263,-0.020153768360614777,-0.015795743092894554,-0.006695123855024576,31
-0.02685927413403988,-0.017666874453425407,-0.00524721248075366,-0.023347264155745506,-0.013429293408989906,-0.008285723626613617,32
-0.02808825671672821,-0.015584639273583889,-0.0029094559140503407,-0.026339145377278328,-0.01717359945178032,-0.0029408347327262163,33
-0.028792759403586388,-0.013199972920119762,-0.0007472645957022905,-0.028850572183728218,-0.02535516396164894,-0.0028086828533560038,34
-0.02919156290590763,-0.01044524647295475,0.0016125231049954891,-0.029102280735969543,-0.012606426142156124,-0.0007013277499936521,35
-0.028768939897418022,-0.007406931836158037,0.0031955053564161062,-0.029704898595809937,-0.011673768050968647,0.0006919059087522328,36
-0.028125127777457237,-0.004702212754637003,0.004300383385270834,-0.028567710891366005,-0.007674690335988998,0.0024274527095258236,37
-0.026960134506225586,-0.0020366013050079346,0.004782530944794416,-0.027064237743616104,-0.009390819817781448,7.233535870909691e-05,38
-0.025391247123479843,0.0006852030637674034,0.004891430493444204,-0.027531005442142487,-0.002230309881269932,0.0032160799019038677,39
-0.02354448102414608,0.003118029097095132,0.004422270227223635,-0.029242362827062607,-0.0007494872552342713,0.010812410153448582,40
-0.021866822615265846,0.004938581958413124,0.0034998832270503044,-0.0199526846408844,0.0015447454061359167,0.004537614993751049,41
-0.01988229900598526,0.006735699251294136,0.002528419950976968,-0.024506833404302597,0.003997364081442356,0.007441519759595394,42
-0.017683066427707672,0.008122083730995655,0.0012284560361877084,-0.015748634934425354,0.009841847233474255,6.0635386034846306e-05,43
-0.015861570835113525,0.009043179452419281,0.00018556683789938688,-0.02116996981203556,0.014406247064471245,0.007124603725969791,44
-0.013783802278339863,0.009591486304998398,-0.0012629973934963346,-0.010265070013701916,0.006708571221679449,0.0014535939553752542,45
-0.011616004630923271,0.010052063502371311,-0.00200237100943923,-0.016055427491664886,0.0058020963333547115,-0.0015920000150799751,46
-0.009898778051137924,0.010100599378347397,-0.0025770640932023525,-0.009983031079173088,0.013689585030078888,-0.003032749518752098,47
-0.008337878622114658,0.010000805370509624,-0.0031015591230243444,-0.013140678405761719,0.012193205766379833,-0.005928953178226948,48
-0.006468526087701321,0.009392114356160164,-0.0038444362580776215,0.002119002863764763,0.006473305635154247,-0.005579269491136074,49
